id,relation_type,source_key,target_key,formula_name,payload_json
4,SARG_SCORE_TO_GUIDANCE,3dd708620be9d86c,R001,Score_r(t)->g_t,"{""preferred_temp_low_c"": 5.0, ""preferred_temp_high_c"": 24.0, ""preferred_temp_position"": ""center_to_upper_band"", ""heat_production_feedback"": 0.22500000000000003, ""comfort_weight_bias"": 1.0, ""gas_weight_bias"": 1.0, ""energy_weight_bias"": 1.0, ""ventilation_bias"": 0.25, ""heating_bias"": 0.35, ""diet_phase_guidance"": ""phase=P1;diet_like=1"", ""growth_priority"": ""recover_growth_gap"", ""best_reference_id"": ""R001"", ""reference_score"": -99.56658333333334, ""reference_distance_delta"": 2002.0, ""confidence"": 0.5, ""biological_phase"": ""P1"", ""climate_context_id"": ""C02"", ""top_k_reference_ids"": [""R001"", ""R006"", ""R026""], ""reason_code"": ""SARG:P1:simulator_reference:risk_heat=False:risk_cold=False:diet=1"", ""reference_generation_mode"": ""growth_simulator_generated"", ""status"": ""SARG_POLICY"", ""ccll_prior"": {""ventilation_bias"": 0.45, ""heating_bias"": 0.0, ""comfort_weight_bias"": 0.55, ""energy_weight_bias"": 0.7, ""context_penalty_weight"": 0.1}, ""growth_state_hash"": ""3dd708620be9d86c""}"
5,SARG_SCORE_TO_GUIDANCE,9ea6f617f1d73d70,R001,Score_r(t)->g_t,"{""preferred_temp_low_c"": 5.0, ""preferred_temp_high_c"": 24.0, ""preferred_temp_position"": ""center_to_upper_band"", ""heat_production_feedback"": 0.0675188694553508, ""comfort_weight_bias"": 1.0, ""gas_weight_bias"": 1.0, ""energy_weight_bias"": 1.0, ""ventilation_bias"": 0.25, ""heating_bias"": 0.35, ""diet_phase_guidance"": ""phase=P1;diet_like=1"", ""growth_priority"": ""recover_growth_gap"", ""best_reference_id"": ""R001"", ""reference_score"": -44.91871829625762, ""reference_distance_delta"": 908.5704584244967, ""confidence"": 0.5, ""biological_phase"": ""P1"", ""climate_context_id"": ""C10"", ""top_k_reference_ids"": [""R001"", ""R006"", ""R026""], ""reason_code"": ""SARG:P1:simulator_reference:risk_heat=False:risk_cold=False:diet=1"", ""reference_generation_mode"": ""growth_simulator_generated"", ""status"": ""SARG_POLICY"", ""ccll_prior"": {""ventilation_bias"": 0.45, ""heating_bias"": 0.0, ""comfort_weight_bias"": 0.55, ""energy_weight_bias"": 0.7, ""context_penalty_weight"": 0.1}, ""growth_state_hash"": ""9ea6f617f1d73d70""}"
6,SARG_SCORE_TO_GUIDANCE,d9dc8e98721b76fc,R001,Score_r(t)->g_t,"{""preferred_temp_low_c"": 5.0, ""preferred_temp_high_c"": 24.0, ""preferred_temp_position"": ""center_to_upper_band"", ""heat_production_feedback"": 0.04168860257956114, ""comfort_weight_bias"": 1.0, ""gas_weight_bias"": 1.0, ""energy_weight_bias"": 1.0, ""ventilation_bias"": 0.25, ""heating_bias"": 0.35, ""diet_phase_guidance"": ""phase=P1;diet_like=1"", ""growth_priority"": ""recover_growth_gap"", ""best_reference_id"": ""R001"", ""reference_score"": -121.92109814102149, ""reference_distance_delta"": 2449.025891204392, ""confidence"": 0.5, ""biological_phase"": ""P1"", ""climate_context_id"": ""C10"", ""top_k_reference_ids"": [""R001"", ""R006"", ""R026""], ""reason_code"": ""SARG:P1:simulator_reference:risk_heat=False:risk_cold=False:diet=1"", ""reference_generation_mode"": ""growth_simulator_generated"", ""status"": ""SARG_POLICY"", ""ccll_prior"": {""ventilation_bias"": 0.45, ""heating_bias"": 0.0, ""comfort_weight_bias"": 0.55, ""energy_weight_bias"": 0.7, ""context_penalty_weight"": 0.1}, ""growth_state_hash"": ""d9dc8e98721b76fc""}"
7,SARG_SCORE_TO_GUIDANCE,04fe934109ea6389,R001,Score_r(t)->g_t,"{""preferred_temp_low_c"": 5.0, ""preferred_temp_high_c"": 24.0, ""preferred_temp_position"": ""center_to_upper_band"", ""heat_production_feedback"": 0.025985157687216653, ""comfort_weight_bias"": 1.0, ""gas_weight_bias"": 1.0, ""energy_weight_bias"": 1.0, ""ventilation_bias"": 0.25, ""heating_bias"": 0.35, ""diet_phase_guidance"": ""phase=P1;diet_like=1"", ""growth_priority"": ""recover_growth_gap"", ""best_reference_id"": ""R001"", ""reference_score"": -125.05226652768762, ""reference_distance_delta"": 2511.689127852126, ""confidence"": 0.5, ""biological_phase"": ""P1"", ""climate_context_id"": ""C02"", ""top_k_reference_ids"": [""R001"", ""R006"", ""R026""], ""reason_code"": ""SARG:P1:simulator_reference:risk_heat=False:risk_cold=False:diet=1"", ""reference_generation_mode"": ""growth_simulator_generated"", ""status"": ""SARG_POLICY"", ""ccll_prior"": {""ventilation_bias"": 0.45, ""heating_bias"": 0.0, ""comfort_weight_bias"": 0.55, ""energy_weight_bias"": 0.7, ""context_penalty_weight"": 0.1}, ""growth_state_hash"": ""04fe934109ea6389""}"
8,SARG_SCORE_TO_GUIDANCE,dbd5c8829b1eb75c,R001,Score_r(t)->g_t,"{""preferred_temp_low_c"": 5.0, ""preferred_temp_high_c"": 24.0, ""preferred_temp_position"": ""center_to_upper_band"", ""heat_production_feedback"": 0.03362030445690728, ""comfort_weight_bias"": 1.0, ""gas_weight_bias"": 1.0, ""energy_weight_bias"": 1.0, ""ventilation_bias"": 0.25, ""heating_bias"": 0.35, ""diet_phase_guidance"": ""phase=P1;diet_like=1"", ""growth_priority"": ""recover_growth_gap"", ""best_reference_id"": ""R001"", ""reference_score"": -127.17275375678408, ""reference_distance_delta"": 2554.069069227141, ""confidence"": 0.5, ""biological_phase"": ""P1"", ""climate_context_id"": ""C02"", ""top_k_reference_ids"": [""R001"", ""R006"", ""R026""], ""reason_code"": ""SARG:P1:simulator_reference:risk_heat=False:risk_cold=False:diet=1"", ""reference_generation_mode"": ""growth_simulator_generated"", ""status"": ""SARG_POLICY"", ""ccll_prior"": {""ventilation_bias"": 0.45, ""heating_bias"": 0.0, ""comfort_weight_bias"": 0.55, ""energy_weight_bias"": 0.7, ""context_penalty_weight"": 0.1}, ""growth_state_hash"": ""dbd5c8829b1eb75c""}"
9,SARG_SCORE_TO_GUIDANCE,074d9a932922117a,R001,Score_r(t)->g_t,"{""preferred_temp_low_c"": 5.0, ""preferred_temp_high_c"": 24.0, ""preferred_temp_position"": ""center_to_upper_band"", ""heat_production_feedback"": 0.046904446248731024, ""comfort_weight_bias"": 1.0, ""gas_weight_bias"": 1.0, ""energy_weight_bias"": 1.0, ""ventilation_bias"": 0.25, ""heating_bias"": 0.35, ""diet_phase_guidance"": ""phase=P1;diet_like=1"", ""growth_priority"": ""recover_growth_gap"", ""best_reference_id"": ""R001"", ""reference_score"": -128.72380562395077, ""reference_distance_delta"": 2585.0565789275674, ""confidence"": 0.5, ""biological_phase"": ""P1"", ""climate_context_id"": ""C02"", ""top_k_reference_ids"": [""R001"", ""R006"", ""R026""], ""reason_code"": ""SARG:P1:simulator_reference:risk_heat=False:risk_cold=False:diet=1"", ""reference_generation_mode"": ""growth_simulator_generated"", ""status"": ""SARG_POLICY"", ""ccll_prior"": {""ventilation_bias"": 0.45, ""heating_bias"": 0.0, ""comfort_weight_bias"": 0.55, ""energy_weight_bias"": 0.7, ""context_penalty_weight"": 0.1}, ""growth_state_hash"": ""074d9a932922117a""}"
10,SARG_SCORE_TO_GUIDANCE,862421c297753fe2,R001,Score_r(t)->g_t,"{""preferred_temp_low_c"": 5.0, ""preferred_temp_high_c"": 24.0, ""preferred_temp_position"": ""center_to_upper_band"", ""heat_production_feedback"": 0.04049798439990154, ""comfort_weight_bias"": 1.0, ""gas_weight_bias"": 1.0, ""energy_weight_bias"": 1.0, ""ventilation_bias"": 0.25, ""heating_bias"": 0.35, ""diet_phase_guidance"": ""phase=P1;diet_like=1"", ""growth_priority"": ""recover_growth_gap"", ""best_reference_id"": ""R001"", ""reference_score"": -129.90512996731368, ""reference_distance_delta"": 2608.699395322063, ""confidence"": 0.5, ""biological_phase"": ""P1"", ""climate_context_id"": ""C10"", ""top_k_reference_ids"": [""R001"", ""R006"", ""R026""], ""reason_code"": ""SARG:P1:simulator_reference:risk_heat=False:risk_cold=False:diet=1"", ""reference_generation_mode"": ""growth_simulator_generated"", ""status"": ""SARG_POLICY"", ""ccll_prior"": {""ventilation_bias"": 0.45, ""heating_bias"": 0.0, ""comfort_weight_bias"": 0.55, ""energy_weight_bias"": 0.7, ""context_penalty_weight"": 0.1}, ""growth_state_hash"": ""862421c297753fe2""}"
11,SARG_SCORE_TO_GUIDANCE,998a92598b2d1c4d,R001,Score_r(t)->g_t,"{""preferred_temp_low_c"": 5.0, ""preferred_temp_high_c"": 24.0, ""preferred_temp_position"": ""center_to_upper_band"", ""heat_production_feedback"": 0.05444847492212701, ""comfort_weight_bias"": 1.0, ""gas_weight_bias"": 1.0, ""energy_weight_bias"": 1.0, ""ventilation_bias"": 0.25, ""heating_bias"": 0.35, ""diet_phase_guidance"": ""phase=P1;diet_like=1"", ""growth_priority"": ""recover_growth_gap"", ""best_reference_id"": ""R001"", ""reference_score"": -130.83156047541567, ""reference_distance_delta"": 2627.1927480735512, ""confidence"": 0.5, ""biological_phase"": ""P1"", ""climate_context_id"": ""C10"", ""top_k_reference_ids"": [""R001"", ""R006"", ""R026""], ""reason_code"": ""SARG:P1:simulator_reference:risk_heat=False:risk_cold=False:diet=1"", ""reference_generation_mode"": ""growth_simulator_generated"", ""status"": ""SARG_POLICY"", ""ccll_prior"": {""ventilation_bias"": 0.45, ""heating_bias"": 0.0, ""comfort_weight_bias"": 0.55, ""energy_weight_bias"": 0.7, ""context_penalty_weight"": 0.1}, ""growth_state_hash"": ""998a92598b2d1c4d""}"
12,SARG_SCORE_TO_GUIDANCE,d82ce4fc7afe2993,R001,Score_r(t)->g_t,"{""preferred_temp_low_c"": 5.0, ""preferred_temp_high_c"": 24.0, ""preferred_temp_position"": ""center_to_upper_band"", ""heat_production_feedback"": 0.07175430391274612, ""comfort_weight_bias"": 1.0, ""gas_weight_bias"": 1.0, ""energy_weight_bias"": 1.0, ""ventilation_bias"": 0.25, ""heating_bias"": 0.35, ""diet_phase_guidance"": ""phase=P1;diet_like=1"", ""growth_priority"": ""recover_growth_gap"", ""best_reference_id"": ""R001"", ""reference_score"": -131.5673908051646, ""reference_distance_delta"": 2641.8655865707337, ""confidence"": 0.5, ""biological_phase"": ""P1"", ""climate_context_id"": ""C02"", ""top_k_reference_ids"": [""R001"", ""R006"", ""R026""], ""reason_code"": ""SARG:P1:simulator_reference:risk_heat=False:risk_cold=False:diet=1"", ""reference_generation_mode"": ""growth_simulator_generated"", ""status"": ""SARG_POLICY"", ""ccll_prior"": {""ventilation_bias"": 0.45, ""heating_bias"": 0.0, ""comfort_weight_bias"": 0.55, ""energy_weight_bias"": 0.7, ""context_penalty_weight"": 0.1}, ""growth_state_hash"": ""d82ce4fc7afe2993""}"
13,SARG_SCORE_TO_GUIDANCE,830b70975badfc75,R001,Score_r(t)->g_t,"{""preferred_temp_low_c"": 5.0, ""preferred_temp_high_c"": 24.0, ""preferred_temp_position"": ""center_to_upper_band"", ""heat_production_feedback"": 0.05756519389502529, ""comfort_weight_bias"": 1.0, ""gas_weight_bias"": 1.0, ""energy_weight_bias"": 1.0, ""ventilation_bias"": 0.25, ""heating_bias"": 0.35, ""diet_phase_guidance"": ""phase=P1;diet_like=1"", ""growth_priority"": ""recover_growth_gap"", ""best_reference_id"": ""R001"", ""reference_score"": -132.15159645018468, ""reference_distance_delta"": 2653.5857113977363, ""confidence"": 0.5, ""biological_phase"": ""P1"", ""climate_context_id"": ""C02"", ""top_k_reference_ids"": [""R001"", ""R006"", ""R026""], ""reason_code"": ""SARG:P1:simulator_reference:risk_heat=False:risk_cold=False:diet=1"", ""reference_generation_mode"": ""growth_simulator_generated"", ""status"": ""SARG_POLICY"", ""ccll_prior"": {""ventilation_bias"": 0.45, ""heating_bias"": 0.0, ""comfort_weight_bias"": 0.55, ""energy_weight_bias"": 0.7, ""context_penalty_weight"": 0.1}, ""growth_state_hash"": ""830b70975badfc75""}"
14,SARG_SCORE_TO_GUIDANCE,18c30e8e0fad126a,R001,Score_r(t)->g_t,"{""preferred_temp_low_c"": 5.0, ""preferred_temp_high_c"": 24.0, ""preferred_temp_position"": ""center_to_upper_band"", ""heat_production_feedback"": 0.08658500787282958, ""comfort_weight_bias"": 1.0, ""gas_weight_bias"": 1.0, ""energy_weight_bias"": 1.0, ""ventilation_bias"": 0.25, ""heating_bias"": 0.35, ""diet_phase_guidance"": ""phase=P1;diet_like=1"", ""growth_priority"": ""recover_growth_gap"", ""best_reference_id"": ""R001"", ""reference_score"": -132.6235942118154, ""reference_distance_delta"": 2662.95221093095, ""confidence"": 0.5, ""biological_phase"": ""P1"", ""climate_context_id"": ""C10"", ""top_k_reference_ids"": [""R001"", ""R006"", ""R026""], ""reason_code"": ""SARG:P1:simulator_reference:risk_heat=False:risk_cold=False:diet=1"", ""reference_generation_mode"": ""growth_simulator_generated"", ""status"": ""SARG_POLICY"", ""ccll_prior"": {""ventilation_bias"": 0.45, ""heating_bias"": 0.0, ""comfort_weight_bias"": 0.55, ""energy_weight_bias"": 0.7, ""context_penalty_weight"": 0.1}, ""growth_state_hash"": ""18c30e8e0fad126a""}"
15,SARG_SCORE_TO_GUIDANCE,58b68746ebf74e2c,R001,Score_r(t)->g_t,"{""preferred_temp_low_c"": 5.0, ""preferred_temp_high_c"": 24.0, ""preferred_temp_position"": ""center_to_upper_band"", ""heat_production_feedback"": 0.08603842506446463, ""comfort_weight_bias"": 1.0, ""gas_weight_bias"": 1.0, ""energy_weight_bias"": 1.0, ""ventilation_bias"": 0.25, ""heating_bias"": 0.35, ""diet_phase_guidance"": ""phase=P1;diet_like=1"", ""growth_priority"": ""recover_growth_gap"", ""best_reference_id"": ""R001"", ""reference_score"": -132.99574700600056, ""reference_distance_delta"": 2670.3967090500264, ""confidence"": 0.5, ""biological_phase"": ""P1"", ""climate_context_id"": ""C02"", ""top_k_reference_ids"": [""R001"", ""R006"", ""R026""], ""reason_code"": ""SARG:P1:simulator_reference:risk_heat=False:risk_cold=False:diet=1"", ""reference_generation_mode"": ""growth_simulator_generated"", ""status"": ""SARG_POLICY"", ""ccll_prior"": {""ventilation_bias"": 0.45, ""heating_bias"": 0.0, ""comfort_weight_bias"": 0.55, ""energy_weight_bias"": 0.7, ""context_penalty_weight"": 0.1}, ""growth_state_hash"": ""58b68746ebf74e2c""}"
16,SARG_SCORE_TO_GUIDANCE,c4a16eab97e91e12,R001,Score_r(t)->g_t,"{""preferred_temp_low_c"": 5.0, ""preferred_temp_high_c"": 24.0, ""preferred_temp_position"": ""center_to_upper_band"", ""heat_production_feedback"": 0.10010411830067228, ""comfort_weight_bias"": 1.0, ""gas_weight_bias"": 1.0, ""energy_weight_bias"": 1.0, ""ventilation_bias"": 0.25, ""heating_bias"": 0.35, ""diet_phase_guidance"": ""phase=P1;diet_like=1"", ""growth_priority"": ""recover_growth_gap"", ""best_reference_id"": ""R001"", ""reference_score"": -133.28973470210983, ""reference_distance_delta"": 2676.240884799934, ""confidence"": 0.5, ""biological_phase"": ""P1"", ""climate_context_id"": ""C02"", ""top_k_reference_ids"": [""R001"", ""R006"", ""R026""], ""reason_code"": ""SARG:P1:simulator_reference:risk_heat=False:risk_cold=False:diet=1"", ""reference_generation_mode"": ""growth_simulator_generated"", ""status"": ""SARG_POLICY"", ""ccll_prior"": {""ventilation_bias"": 0.45, ""heating_bias"": 0.0, ""comfort_weight_bias"": 0.55, ""energy_weight_bias"": 0.7, ""context_penalty_weight"": 0.1}, ""growth_state_hash"": ""c4a16eab97e91e12""}"
17,SARG_SCORE_TO_GUIDANCE,766ced0a50c2394b,R001,Score_r(t)->g_t,"{""preferred_temp_low_c"": 5.0, ""preferred_temp_high_c"": 24.0, ""preferred_temp_position"": ""center_to_upper_band"", ""heat_production_feedback"": 0.10642556226876965, ""comfort_weight_bias"": 1.0, ""gas_weight_bias"": 1.0, ""energy_weight_bias"": 1.0, ""ventilation_bias"": 0.25, ""heating_bias"": 0.35, ""diet_phase_guidance"": ""phase=P1;diet_like=1"", ""growth_priority"": ""recover_growth_gap"", ""best_reference_id"": ""R001"", ""reference_score"": -133.51504696625804, ""reference_distance_delta"": 2680.7311687006863, ""confidence"": 0.5, ""biological_phase"": ""P1"", ""climate_context_id"": ""C08"", ""top_k_reference_ids"": [""R001"", ""R006"", ""R026""], ""reason_code"": ""SARG:P1:simulator_reference:risk_heat=False:risk_cold=False:diet=1"", ""reference_generation_mode"": ""growth_simulator_generated"", ""status"": ""SARG_POLICY"", ""ccll_prior"": {""ventilation_bias"": 0.45, ""heating_bias"": 0.0, ""comfort_weight_bias"": 0.55, ""energy_weight_bias"": 0.7, ""context_penalty_weight"": 0.1}, ""growth_state_hash"": ""766ced0a50c2394b""}"
18,SARG_SCORE_TO_GUIDANCE,dd547f24bd5e9156,R001,Score_r(t)->g_t,"{""preferred_temp_low_c"": 5.0, ""preferred_temp_high_c"": 24.0, ""preferred_temp_position"": ""center_to_upper_band"", ""heat_production_feedback"": 0.04353304566018895, ""comfort_weight_bias"": 1.0, ""gas_weight_bias"": 1.0, ""energy_weight_bias"": 1.0, ""ventilation_bias"": 0.25, ""heating_bias"": 0.35, ""diet_phase_guidance"": ""phase=P1;diet_like=1"", ""growth_priority"": ""recover_growth_gap"", ""best_reference_id"": ""R001"", ""reference_score"": -133.67355486659395, ""reference_distance_delta"": 2684.060705852632, ""confidence"": 0.5, ""biological_phase"": ""P1"", ""climate_context_id"": ""C02"", ""top_k_reference_ids"": [""R001"", ""R006"", ""R026""], ""reason_code"": ""SARG:P1:simulator_reference:risk_heat=False:risk_cold=False:diet=1"", ""reference_generation_mode"": ""growth_simulator_generated"", ""status"": ""SARG_POLICY"", ""ccll_prior"": {""ventilation_bias"": 0.45, ""heating_bias"": 0.0, ""comfort_weight_bias"": 0.55, ""energy_weight_bias"": 0.7, ""context_penalty_weight"": 0.1}, ""growth_state_hash"": ""dd547f24bd5e9156""}"
19,SARG_SCORE_TO_GUIDANCE,9ca6a34bdf112a04,R001,Score_r(t)->g_t,"{""preferred_temp_low_c"": 5.0, ""preferred_temp_high_c"": 24.0, ""preferred_temp_position"": ""center_to_upper_band"", ""heat_production_feedback"": 0.017551122325411672, ""comfort_weight_bias"": 1.0, ""gas_weight_bias"": 1.0, ""energy_weight_bias"": 1.0, ""ventilation_bias"": 0.25, ""heating_bias"": 0.35, ""diet_phase_guidance"": ""phase=P1;diet_like=1"", ""growth_priority"": ""recover_growth_gap"", ""best_reference_id"": ""R001"", ""reference_score"": -133.78641710059253, ""reference_distance_delta"": 2686.3838216680024, ""confidence"": 0.5, ""biological_phase"": ""P1"", ""climate_context_id"": ""C10"", ""top_k_reference_ids"": [""R001"", ""R006"", ""R026""], ""reason_code"": ""SARG:P1:simulator_reference:risk_heat=False:risk_cold=False:diet=1"", ""reference_generation_mode"": ""growth_simulator_generated"", ""status"": ""SARG_POLICY"", ""ccll_prior"": {""ventilation_bias"": 0.45, ""heating_bias"": 0.0, ""comfort_weight_bias"": 0.55, ""energy_weight_bias"": 0.7, ""context_penalty_weight"": 0.1}, ""growth_state_hash"": ""9ca6a34bdf112a04""}"
20,SARG_SCORE_TO_GUIDANCE,a5d24b2756742682,R001,Score_r(t)->g_t,"{""preferred_temp_low_c"": 5.0, ""preferred_temp_high_c"": 24.0, ""preferred_temp_position"": ""center_to_upper_band"", ""heat_production_feedback"": 0.026121200910627862, ""comfort_weight_bias"": 1.0, ""gas_weight_bias"": 1.0, ""energy_weight_bias"": 1.0, ""ventilation_bias"": 0.25, ""heating_bias"": 0.35, ""diet_phase_guidance"": ""phase=P1;diet_like=1"", ""growth_priority"": ""recover_growth_gap"", ""best_reference_id"": ""R001"", ""reference_score"": -133.85960268507236, ""reference_distance_delta"": 2687.825871818348, ""confidence"": 0.5, ""biological_phase"": ""P1"", ""climate_context_id"": ""C02"", ""top_k_reference_ids"": [""R001"", ""R006"", ""R026""], ""reason_code"": ""SARG:P1:simulator_reference:risk_heat=False:risk_cold=False:diet=1"", ""reference_generation_mode"": ""growth_simulator_generated"", ""status"": ""SARG_POLICY"", ""ccll_prior"": {""ventilation_bias"": 0.45, ""heating_bias"": 0.0, ""comfort_weight_bias"": 0.55, ""energy_weight_bias"": 0.7, ""context_penalty_weight"": 0.1}, ""growth_state_hash"": ""a5d24b2756742682""}"
21,SARG_SCORE_TO_GUIDANCE,6da077404e2b9b33,R001,Score_r(t)->g_t,"{""preferred_temp_low_c"": 5.0, ""preferred_temp_high_c"": 24.0, ""preferred_temp_position"": ""center_to_upper_band"", ""heat_production_feedback"": 0.03918229402043516, ""comfort_weight_bias"": 1.0, ""gas_weight_bias"": 1.0, ""energy_weight_bias"": 1.0, ""ventilation_bias"": 0.25, ""heating_bias"": 0.35, ""diet_phase_guidance"": ""phase=P1;diet_like=1"", ""growth_priority"": ""recover_growth_gap"", ""best_reference_id"": ""R001"", ""reference_score"": -133.89446815942907, ""reference_distance_delta"": 2688.490141762278, ""confidence"": 0.5, ""biological_phase"": ""P1"", ""climate_context_id"": ""C10"", ""top_k_reference_ids"": [""R001"", ""R006"", ""R026""], ""reason_code"": ""SARG:P1:simulator_reference:risk_heat=False:risk_cold=False:diet=1"", ""reference_generation_mode"": ""growth_simulator_generated"", ""status"": ""SARG_POLICY"", ""ccll_prior"": {""ventilation_bias"": 0.45, ""heating_bias"": 0.0, ""comfort_weight_bias"": 0.55, ""energy_weight_bias"": 0.7, ""context_penalty_weight"": 0.1}, ""growth_state_hash"": ""6da077404e2b9b33""}"
22,SARG_SCORE_TO_GUIDANCE,a37e9970f3b5a1b4,R001,Score_r(t)->g_t,"{""preferred_temp_low_c"": 5.0, ""preferred_temp_high_c"": 24.0, ""preferred_temp_position"": ""center_to_upper_band"", ""heat_production_feedback"": 0.05689013004460691, ""comfort_weight_bias"": 1.0, ""gas_weight_bias"": 1.0, ""energy_weight_bias"": 1.0, ""ventilation_bias"": 0.25, ""heating_bias"": 0.35, ""diet_phase_guidance"": ""phase=P1;diet_like=1"", ""growth_priority"": ""recover_growth_gap"", ""best_reference_id"": ""R001"", ""reference_score"": -133.89534161406246, ""reference_distance_delta"": 2688.462798916447, ""confidence"": 0.5, ""biological_phase"": ""P1"", ""climate_context_id"": ""C10"", ""top_k_reference_ids"": [""R001"", ""R006"", ""R026""], ""reason_code"": ""SARG:P1:simulator_reference:risk_heat=False:risk_cold=False:diet=1"", ""reference_generation_mode"": ""growth_simulator_generated"", ""status"": ""SARG_POLICY"", ""ccll_prior"": {""ventilation_bias"": 0.45, ""heating_bias"": 0.0, ""comfort_weight_bias"": 0.55, ""energy_weight_bias"": 0.7, ""context_penalty_weight"": 0.1}, ""growth_state_hash"": ""a37e9970f3b5a1b4""}"
23,SARG_SCORE_TO_GUIDANCE,aa2e951156ac97ad,R001,Score_r(t)->g_t,"{""preferred_temp_low_c"": 5.0, ""preferred_temp_high_c"": 24.0, ""preferred_temp_position"": ""center_to_upper_band"", ""heat_production_feedback"": 0.06670823371950518, ""comfort_weight_bias"": 1.0, ""gas_weight_bias"": 1.0, ""energy_weight_bias"": 1.0, ""ventilation_bias"": 0.25, ""heating_bias"": 0.35, ""diet_phase_guidance"": ""phase=P1;diet_like=1"", ""growth_priority"": ""recover_growth_gap"", ""best_reference_id"": ""R001"", ""reference_score"": -133.8642690967558, ""reference_distance_delta"": 2687.816523392452, ""confidence"": 0.5, ""biological_phase"": ""P1"", ""climate_context_id"": ""C10"", ""top_k_reference_ids"": [""R001"", ""R006"", ""R026""], ""reason_code"": ""SARG:P1:simulator_reference:risk_heat=False:risk_cold=False:diet=1"", ""reference_generation_mode"": ""growth_simulator_generated"", ""status"": ""SARG_POLICY"", ""ccll_prior"": {""ventilation_bias"": 0.45, ""heating_bias"": 0.0, ""comfort_weight_bias"": 0.55, ""energy_weight_bias"": 0.7, ""context_penalty_weight"": 0.1}, ""growth_state_hash"": ""aa2e951156ac97ad""}"
24,SARG_SCORE_TO_GUIDANCE,1c256b3ea2c7d5b3,R001,Score_r(t)->g_t,"{""preferred_temp_low_c"": 5.0, ""preferred_temp_high_c"": 24.0, ""preferred_temp_position"": ""center_to_upper_band"", ""heat_production_feedback"": 0.07142048758145081, ""comfort_weight_bias"": 1.0, ""gas_weight_bias"": 1.0, ""energy_weight_bias"": 1.0, ""ventilation_bias"": 0.25, ""heating_bias"": 0.35, ""diet_phase_guidance"": ""phase=P1;diet_like=1"", ""growth_priority"": ""recover_growth_gap"", ""best_reference_id"": ""R001"", ""reference_score"": -133.8046984732132, ""reference_distance_delta"": 2686.6132200614747, ""confidence"": 0.5, ""biological_phase"": ""P1"", ""climate_context_id"": ""C10"", ""top_k_reference_ids"": [""R001"", ""R006"", ""R026""], ""reason_code"": ""SARG:P1:simulator_reference:risk_heat=False:risk_cold=False:diet=1"", ""reference_generation_mode"": ""growth_simulator_generated"", ""status"": ""SARG_POLICY"", ""ccll_prior"": {""ventilation_bias"": 0.45, ""heating_bias"": 0.0, ""comfort_weight_bias"": 0.55, ""energy_weight_bias"": 0.7, ""context_penalty_weight"": 0.1}, ""growth_state_hash"": ""1c256b3ea2c7d5b3""}"
25,SARG_SCORE_TO_GUIDANCE,446a96eaf862deba,R001,Score_r(t)->g_t,"{""preferred_temp_low_c"": 5.0, ""preferred_temp_high_c"": 24.0, ""preferred_temp_position"": ""center_to_upper_band"", ""heat_production_feedback"": 0.07999870149390587, ""comfort_weight_bias"": 1.0, ""gas_weight_bias"": 1.0, ""energy_weight_bias"": 1.0, ""ventilation_bias"": 0.25, ""heating_bias"": 0.35, ""diet_phase_guidance"": ""phase=P1;diet_like=1"", ""growth_priority"": ""recover_growth_gap"", ""best_reference_id"": ""R001"", ""reference_score"": -133.7204256331893, ""reference_distance_delta"": 2684.906078174312, ""confidence"": 0.5, ""biological_phase"": ""P1"", ""climate_context_id"": ""C10"", ""top_k_reference_ids"": [""R001"", ""R006"", ""R026""], ""reason_code"": ""SARG:P1:simulator_reference:risk_heat=False:risk_cold=False:diet=1"", ""reference_generation_mode"": ""growth_simulator_generated"", ""status"": ""SARG_POLICY"", ""ccll_prior"": {""ventilation_bias"": 0.45, ""heating_bias"": 0.0, ""comfort_weight_bias"": 0.55, ""energy_weight_bias"": 0.7, ""context_penalty_weight"": 0.1}, ""growth_state_hash"": ""446a96eaf862deba""}"
26,SARG_SCORE_TO_GUIDANCE,b7603e87365c4c07,R001,Score_r(t)->g_t,"{""preferred_temp_low_c"": 5.0, ""preferred_temp_high_c"": 24.0, ""preferred_temp_position"": ""center_to_upper_band"", ""heat_production_feedback"": 0.07983503726156127, ""comfort_weight_bias"": 1.0, ""gas_weight_bias"": 1.0, ""energy_weight_bias"": 1.0, ""ventilation_bias"": 0.25, ""heating_bias"": 0.35, ""diet_phase_guidance"": ""phase=P1;diet_like=1"", ""growth_priority"": ""recover_growth_gap"", ""best_reference_id"": ""R001"", ""reference_score"": -133.61215663327656, ""reference_distance_delta"": 2682.741158746478, ""confidence"": 0.5, ""biological_phase"": ""P1"", ""climate_context_id"": ""C10"", ""top_k_reference_ids"": [""R001"", ""R006"", ""R026""], ""reason_code"": ""SARG:P1:simulator_reference:risk_heat=False:risk_cold=False:diet=1"", ""reference_generation_mode"": ""growth_simulator_generated"", ""status"": ""SARG_POLICY"", ""ccll_prior"": {""ventilation_bias"": 0.45, ""heating_bias"": 0.0, ""comfort_weight_bias"": 0.55, ""energy_weight_bias"": 0.7, ""context_penalty_weight"": 0.1}, ""growth_state_hash"": ""b7603e87365c4c07""}"
